title,thumbnail,tags,release_date,reviews,review_score,original_price,discount_price
New World,https://cdn.cloudflare.steamstatic.com/steam/apps/1063730/header.jpg?t=1695753023,"['Massively Multiplayer', 'Open World', 'MMORPG', 'RPG', 'Adventure']",2021-09-28,223647,Mostly Positive,$39.99,$15.99
Hunt: Showdown,https://cdn.cloudflare.steamstatic.com/steam/apps/594650/header_alt_assets_19.jpg?t=1696422884,"['Open World', 'Extraction Shooter', 'Tactical', 'Atmospheric', 'Multiplayer']",2019-08-27,137632,Very Positive,$39.99,$15.99
Tony Hawk's™ Pro Skater™ 1 + 2,https://cdn.cloudflare.steamstatic.com/steam/apps/2395210/header.jpg?t=1696374771,"['Sports', 'Skateboarding', 'Singleplayer', 'Multiplayer', 'Co-op']",2023-10-03,424,Very Positive,$39.99,$19.99
"Warhammer 40,000: Darktide",https://cdn.cloudflare.steamstatic.com/steam/apps/1361210/header_alt_assets_3.jpg?t=1696362581,"['Warhammer 40K', 'Gore', 'Adventure', 'Online Co-Op', 'PvE']",2022-11-30,61869,Mixed,$39.99,$25.99
Sea of Thieves 2023 Edition,https://cdn.cloudflare.steamstatic.com/steam/apps/1172620/header.jpg?t=1689874808,"['Multiplayer', 'Adventure', 'Open World', 'Pirates', 'Co-op']",2020-06-03,256611,Very Positive,$39.99,$19.99
Thief Simulator 2,https://cdn.cloudflare.steamstatic.com/steam/apps/1332720/header.jpg?t=1696430004,"['Simulation', 'Stealth', 'Crime', 'Action', 'Singleplayer']",2023-10-04,65,Very Positive,$19.99,$17.99
"Warhammer 40,000: Inquisitor - Martyr",https://cdn.cloudflare.steamstatic.com/steam/apps/527430/header.jpg?t=1689157267,"['Warhammer 40K', 'Action RPG', 'RPG', 'Hack and Slash', 'Action']",2018-06-05,15537,Mostly Positive,$49.99,$4.99
Riders Republic,https://cdn.cloudflare.steamstatic.com/steam/apps/2290180/header.jpg?t=1694711764,"['Racing', 'Open World', 'Massively Multiplayer', 'Sports', 'PvP']",2023-06-08,5026,Very Positive,$39.99,$9.99
No Man's Sky,https://cdn.cloudflare.steamstatic.com/steam/apps/275850/header.jpg?t=1692895292,"['Open World', 'Open World Survival Craft', 'Space', 'Exploration', 'Sci-fi']",2016-08-12,212117,Mostly Positive,$59.99,$29.99
The Witcher® 3: Wild Hunt,https://cdn.cloudflare.steamstatic.com/steam/apps/292030/header.jpg?t=1693590732,"['Open World', 'RPG', 'Story Rich', 'Atmospheric', 'Mature']",2015-05-18,671222,Overwhelmingly Positive,$39.99,$11.99
The Elder Scrolls® Online,https://cdn.cloudflare.steamstatic.com/steam/apps/306130/header_alt_assets_12.jpg?t=1696006182,"['RPG', 'MMORPG', 'Open World', 'Adventure', 'Fantasy']",2017-05-22,114508,Very Positive,$19.99,$5.99
Muse Dash,https://cdn.cloudflare.steamstatic.com/steam/apps/774171/header_alt_assets_11.jpg?t=1696436630,"['Music', 'Rhythm', 'Anime', 'Cute', 'Sexual Content']",2019-06-20,88293,Very Positive,$2.99,$1.10
